timestamp,app_name,package,usage_time,total_screen_time,fuzzy_level,
2025-11-25T02:55:23.022119,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T04:03:29.704607,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T06:41:52.028663,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:16:43.569714,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T07:41:01.744602,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T08:13:37.314564,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,TikTok,com.ss.android.ugc.trill,Sosial,3 jam 6 menit 53 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 6 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,System launcher,com.miui.home,Sistem,0 jam 50 menit 29 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,Instagram,com.instagram.android,Sosial,0 jam 50 menit 5 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:13:37.314564,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 24 menit 45 detik,Tinggi
2025-11-25T08:44:41.405923,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,TikTok,com.ss.android.ugc.trill,Sosial,3 jam 25 menit 27 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 6 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,Twitter,com.twitter.android,Sosial,1 jam 9 menit 3 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,System launcher,com.miui.home,Sistem,0 jam 50 menit 48 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,Instagram,com.instagram.android,Sosial,0 jam 50 menit 36 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:44:41.405923,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,19 jam 1 menit 10 detik,Sedang
2025-11-25T08:59:50.815888,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,TikTok,com.ss.android.ugc.trill,Sosial,3 jam 30 menit 19 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 6 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,Twitter,com.twitter.android,Sosial,1 jam 15 menit 47 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,System launcher,com.miui.home,Sistem,0 jam 50 menit 56 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,Instagram,com.instagram.android,Sosial,0 jam 50 menit 36 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,19 jam 13 menit 56 detik,Sedang
2025-11-25T08:59:50.815888,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,19 jam 13 menit 56 detik,Sedang
